GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
magento-coding-challenge,com.dguerrar.converter,OrderConverter,5,22,0,0,2,6,2,2,2,2
magento-coding-challenge,com.dguerrar.domain,Notification,18,21,0,0,8,7,5,3,5,3
magento-coding-challenge,com.dguerrar.domain,Line,0,26,0,0,0,12,0,6,0,6
magento-coding-challenge,com.dguerrar.domain,ProcessingOrder,0,10,0,0,0,5,0,3,0,3
magento-coding-challenge,com.dguerrar.domain,Order,0,24,0,0,0,11,0,7,0,7
magento-coding-challenge,com.dguerrar.controllers.exception,OrderRuntimeException,3,0,0,0,2,0,1,0,1,0
magento-coding-challenge,com.dguerrar.controllers.exception,ParseableOrderRuntimeException,0,4,0,0,0,2,0,1,0,1
magento-coding-challenge,com.dguerrar.controllers.exception,OrderBindingException,3,0,0,0,2,0,1,0,1,0
magento-coding-challenge,com.dguerrar.controllers.exception,InvalidOrderException,0,4,0,0,0,2,0,1,0,1
magento-coding-challenge,com.dguerrar.controllers.exception,OrderLineSequenceException,3,0,0,0,2,0,1,0,1,0
magento-coding-challenge,com.dguerrar.domain.base,BaseObject,0,3,0,0,0,1,0,1,0,1
magento-coding-challenge,com.dguerrar.domain.base,DataContainer,12,27,0,0,6,8,3,4,3,4
magento-coding-challenge,com.dguerrar.scheduled,ScheduledEmail,62,5,6,0,10,2,5,2,2,2
magento-coding-challenge,com.dguerrar.controllers.exception.advices,ExceptionControllerAdviceBinding,10,5,0,0,2,2,1,2,1,2
magento-coding-challenge,com.dguerrar.controllers.exception.advices,ExceptionControllerAdviceRuntime,11,5,0,0,2,2,1,2,1,2
magento-coding-challenge,com.dguerrar.controllers.exception.advices,ExceptionControllerAdviceInvalid,0,16,0,0,0,4,0,3,0,3
magento-coding-challenge,com.dguerrar.controllers.exception.advices,ExceptionControllerAdviceParseable,0,16,0,0,0,4,0,3,0,3
magento-coding-challenge,com.dguerrar.controllers.exception.advices,ExceptionControllerAdvicejsonIO,15,0,0,0,4,0,3,0,3,0
magento-coding-challenge,com.dguerrar,Application,5,3,0,0,2,1,1,1,1,1
magento-coding-challenge,com.dguerrar.validators.impl,OrderValidatorImpl,0,119,4,18,0,24,4,10,0,3
magento-coding-challenge,com.dguerrar.constants,Constants,3,0,0,0,1,0,1,0,1,0
magento-coding-challenge,com.dguerrar.controllers.impl,OrderControllerImpl,7,21,0,0,3,5,2,3,2,3
magento-coding-challenge,com.dguerrar.managers.impl,OrderManagerImpl,15,67,1,1,2,14,1,3,0,3
magento-coding-challenge,com.dguerrar.managers.impl,NotificationManagerImpl,0,13,0,0,0,4,0,3,0,3
magento-coding-challenge,com.dguerrar.generic,GenericModule,0,8,0,0,0,2,0,1,0,1
